상품명,재질,색상,분류,카테고리,품목코드,제품명,단가,구수제한
1구,듀로플라스틱,화이트,프레임,,LS981WW,프레임 1구,8900,
2구,듀로플라스틱,화이트,프레임,,LS982WW,프레임 2구,15690,
3구,듀로플라스틱,화이트,프레임,,LS983WW,프레임 3구,23400,
4구,듀로플라스틱,화이트,프레임,,LS984WW,프레임 4구,42120,
5구,듀로플라스틱,화이트,프레임,,LS985WW,프레임 5구,60610,
1회로(3로겸용),듀로플라스틱,화이트,모듈,스위치류,506U,인서트 1회로 (3로겸용),18960,
1회로(3로겸용),듀로플라스틱,화이트,모듈,스위치류,LS990WW,커버 1회로 스위치,10770,
1회로(일괄소등),듀로플라스틱,화이트,모듈,스위치류,506-20U,인서트 일괄소등 1회로 (3로겸용),42120,
1회로(일괄소등),듀로플라스틱,화이트,모듈,스위치류,LS990WW,커버 1회로 스위치,10770,
2회로(단로전용),듀로플라스틱,화이트,모듈,스위치류,505U,인서트 2회로 (단로전용),29730,
2회로(단로전용),듀로플라스틱,화이트,모듈,스위치류,LS995WW,커버 2회로 스위치,16150,
2회로(3로겸용),듀로플라스틱,화이트,모듈,스위치류,509U,인서트 2회로 (3로겸용),52890,
2회로(3로겸용),듀로플라스틱,화이트,모듈,스위치류,LS995WW,커버 2회로 스위치,16150,
3회로(3로겸용),듀로플라스틱,화이트,모듈,스위치류,5306EU,인서트 단로 3회로 (3로겸용),68340,1
3회로(3로겸용),듀로플라스틱,화이트,모듈,스위치류,LS993BFWW,커버 3회로 스위치,33000,
로터리디밍,듀로플라스틱,화이트,모듈,스위치류,1731DD,인서트 로터리디밍 (LED100W),311260,
로터리디밍,듀로플라스틱,화이트,모듈,스위치류,LS1740WW,커버 로터리디밍,22460,
콘센트,듀로플라스틱,화이트,모듈,콘센트류,LS1520KIWW,콘센트220V (인서트+커버),25970,
방우콘센트,듀로플라스틱,화이트,모듈,콘센트류,LS1520KIKLWW,콘센트220V 방우형 (인서트+커버),43070,
콘센트(USB-A),듀로플라스틱,화이트,모듈,콘센트류,LS1520-18AWW,콘센트220V USB-A (인서트+커버),215540,
콘센트(USB-C),듀로플라스틱,화이트,모듈,콘센트류,LS1520-18CWW,콘센트220V USB-C (인서트+커버),215540,
콘센트(USB-C/A),듀로플라스틱,화이트,모듈,콘센트류,LS1520-15CAWW,콘센트220V USB-C/A (인서트+커버),215540,
1회로(TEL/LAN),듀로플라스틱,화이트,모듈,기타류,UAE8UPOK6,인서트 1P TEL/LAN,58520,
1회로(TEL/LAN),듀로플라스틱,화이트,모듈,기타류,LS969-1UAWW,커버 1P TEL/LAN,12880,
2회로(TEL/LAN),듀로플라스틱,화이트,모듈,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,78160,
2회로(TEL/LAN),듀로플라스틱,화이트,모듈,기타류,LS969-2UAWW,커버 2P TEL/LAN,14170,
1구,듀로플라스틱,아이보리,프레임,,LS981W,프레임 1구,9120,
2구,듀로플라스틱,아이보리,프레임,,LS982W,프레임 2구,17560,
3구,듀로플라스틱,아이보리,프레임,,LS983W,프레임 3구,25970,
4구,듀로플라스틱,아이보리,프레임,,LS984W,프레임 4구,46340,
5구,듀로플라스틱,아이보리,프레임,,LS985W,프레임 5구,65530,
1회로(3로겸용),듀로플라스틱,아이보리,모듈,스위치류,506U,인서트 1회로 (3로겸용),18960,
1회로(3로겸용),듀로플라스틱,아이보리,모듈,스위치류,LS990,커버 1회로 스위치,10770,
1회로(일괄소등),듀로플라스틱,아이보리,모듈,스위치류,506-20U,인서트 일괄소등 1회로 (3로겸용),42120,
1회로(일괄소등),듀로플라스틱,아이보리,모듈,스위치류,LS990,커버 1회로 스위치,10770,
2회로(단로전용),듀로플라스틱,아이보리,모듈,스위치류,505U,인서트 2회로 (단로전용),29730,
2회로(단로전용),듀로플라스틱,아이보리,모듈,스위치류,LS995,커버 2회로 스위치,16610,
2회로(3로겸용),듀로플라스틱,아이보리,모듈,스위치류,509U,인서트 2회로 (3로겸용),52890,
2회로(3로겸용),듀로플라스틱,아이보리,모듈,스위치류,LS995,커버 2회로 스위치,16610,
3회로(3로겸용),듀로플라스틱,아이보리,모듈,스위치류,5306EU,인서트 단로 3회로 (3로겸용),68340,1
3회로(3로겸용),듀로플라스틱,아이보리,모듈,스위치류,LS993BF,커버 3회로 스위치,33000,
로터리디밍,듀로플라스틱,아이보리,모듈,스위치류,1731DD,인서트 로터리디밍 (LED100W),311260,
로터리디밍,듀로플라스틱,아이보리,모듈,스위치류,LS1740,커버 로터리디밍,22460,
콘센트,듀로플라스틱,아이보리,모듈,콘센트류,LS1520KI,콘센트220V (인서트+커버),25970,
방우콘센트,듀로플라스틱,아이보리,모듈,콘센트류,LS1520KIKL,콘센트220V 방우형 (인서트+커버),43070,
콘센트(USB-A),듀로플라스틱,아이보리,모듈,콘센트류,LS1520-18A,콘센트220V USB-A (인서트+커버),215540,
콘센트(USB-C),듀로플라스틱,아이보리,모듈,콘센트류,LS1520-18C,콘센트220V USB-C (인서트+커버),215540,
콘센트(USB-C/A),듀로플라스틱,아이보리,모듈,콘센트류,LS1520-15CA,콘센트220V USB-C/A (인서트+커버),215540,
1회로(TEL/LAN),듀로플라스틱,아이보리,모듈,기타류,UAE8UPOK6,인서트 1P TEL/LAN,58520,
1회로(TEL/LAN),듀로플라스틱,아이보리,모듈,기타류,LS969-1UA,커버 1P TEL/LAN,12880,
2회로(TEL/LAN),듀로플라스틱,아이보리,모듈,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,78160,
2회로(TEL/LAN),듀로플라스틱,아이보리,모듈,기타류,LS969-2UA,커버 2P TEL/LAN,14170,
1구,듀로플라스틱,블랙,프레임,,LS981SW,프레임 1구,14740,
2구,듀로플라스틱,블랙,프레임,,LS982SW,프레임 2구,24110,
3구,듀로플라스틱,블랙,프레임,,LS983SW,프레임 3구,37910,
4구,듀로플라스틱,블랙,프레임,,LS984SW,프레임 4구,56410,
5구,듀로플라스틱,블랙,프레임,,LS985SW,프레임 5구,78870,
1회로(3로겸용),듀로플라스틱,블랙,모듈,스위치류,506U,인서트 1회로 (3로겸용),18960,
1회로(3로겸용),듀로플라스틱,블랙,모듈,스위치류,LS990SW,커버 1회로 스위치,19180,
1회로(일괄소등),듀로플라스틱,블랙,모듈,스위치류,506-20U,인서트 일괄소등 1회로 (3로겸용),42120,
1회로(일괄소등),듀로플라스틱,블랙,모듈,스위치류,LS990SW,커버 1회로 스위치,19180,
2회로(단로전용),듀로플라스틱,블랙,모듈,스위치류,505U,인서트 2회로 (단로전용),29730,
2회로(단로전용),듀로플라스틱,블랙,모듈,스위치류,LS995SW,커버 2회로 스위치,25750,
2회로(3로겸용),듀로플라스틱,블랙,모듈,스위치류,509U,인서트 2회로 (3로겸용),52890,
